,,,SARAH - COMPLETE THIS,Donalds Choice,Sarah's Choice
,,Sequential writing,y,,
,,Sequential reading,y,,
,,Context Resource Manaher (with statement),y,,
,,Random read/write with seek/tell,n,,"No randon access or binary files in digital. Not sure needed for work applications, could be further reading?"
,,pickle,n,,
,,shelve,n,,
,,compression,n,,
,,,,,
Chapter 8,Functions,Define and call function,y,,"Functions done at minimal level, all this section can build on it"
,,Positional/Named/Mixed parameters,n,,
,,Default parameters,n,,
,,Variadic Functiions *tuple and **kwargs,n,,
,,Returning Objects,y,,
,,Variable Scope/Globals/Locals,n,,
,,Nested Functions,n,,
,,Function DocStrings,y,,
,,Lambda Functions,n,,
,,,,,
Chapter 9,Advanced,Filter function,n,,"If wanted, can  be covered, wasn't in digital. So could be we know lists, here's a way to make new lists from ols etc"
,Collections,List/Dict/Set Comprehensions,n,,
,,Laxy Lists,n,,
,,Generator Functions,n,,
,,Copying Collections ref/shallow/deep,n,,
,,,,,
,,,,,
Chapter 10,Modules &,Packages,y,,Again they should have basic familiarity from digital but build in more detail in live
,Packages,Modules/Programs,y,,
,,Importing,y,,
,,Namespaces,partial (ie import and import as,,
,,Directories as Packages,n (might have changed),,
,,Module Structure/if __name__,n,,
,,Module Documentation,n,,
,,Module Profiling,n,,
,,Module Debugging,n,,
,,Module Unit Testing,mentioned only,,
,,,,,
Chapter 11,Classes & OOP,OOP,n,,All to do in live
,,Class and Objects,n,,
,,Defining Class,n,,
,,__init__ and self,n,,
,,Defining Methods,n,,
,,Constructing an Object,n,,
,,Special Methods,n,,
,,Duck Typing,n,,
,,Operator Overloading,n,,
,,Getter/Setter Methods,n,,
,,Properties and decorators,n,,
,,Inheritance,n,,
,,,,,
Chapter 12,Error Handling &,Stdout/Stderr,n,,This is more linuxy? 
,Exceptions,Warnings Module,n,,"I'd like more discussion of error handling strategy, maybe logging, and raise and traceback nice"
,,Exception Handling,y,,
,,try/except/except/else/finally,y,,
,,Order of execution,n,,
,,Exception err object,n,,
,,Py 3 Exception Hierarchy,n,,
,,Raise statement,n,,
,,Raising user exceptions,n,,
,,Getting Tracebacks,n,,
,,,,,
Chapter 13 ,Multi-tasking,Process Life - Parent/child,n,,"We did agree that this would be out, early on. Could be further reading?"
,,Creating a child Process - os,n,,
,,Creating a child Process - subprocess,n,,
,,Catching return status,n,,
,,Catching stdout/stderr,n,,
,,Single/Multi threading,n,,
,,Thread module,n,,
,,Multi-process module,n,,
,,Locks,n,,
,,Queue objects,n,,
,,,,,
Chapter 14,Py Standard Library,,y,,Used some but always more you can do with this.
